Date,Day,Open for Day,High for Day,Low  for Day,Close for Day, %Chg for Day,Volume (thous) for Day
2013-12-10,Tu,       5344.81,       5362.20,       5213.79,       5224.24,-2061,            na
2013-12-09,Mo,       5335.50,       5436.09,       5303.78,       5334.17,54,            na
2013-12-06,Fr,       5331.76,       5392.52,       5322.53,       5331.28,130,            na
2013-12-05,Th,       5315.85,       5425.26,       5307.78,       5324.36,260,            na
2013-12-04,We,       5306.60,       5333.99,       5220.15,       5310.55,369,            na
2013-12-03,Tu,       5530.88,       5542.61,       5267.62,       5291.01,-4337,            na
2013-12-02,Mo,       5702.14,       5722.31,       5495.12,       5530.88,-3284,            na
2013-11-29,Fr,       5761.15,       5769.97,       5663.88,       5718.68,-271,            na
2013-11-28,Th,       5601.17,       5752.40,       5601.17,       5734.20,2375,            na
2013-11-27,We,       5700.16,       5765.37,       5598.46,       5601.17,-1668,            na
2013-11-26,Tu,       5534.62,       5825.37,       5534.62,       5696.21,3014,            na
2013-11-25,Mo,            na,            na,            na,            na,            na,            na
2013-11-22,Fr,       5396.89,       5531.88,       5396.89,       5529.54,2492,            na
2013-11-21,Th,       5371.97,       5451.27,       5371.97,       5395.07,617,            na
2013-11-20,We,       5225.36,       5427.95,       5225.36,       5362.00,3348,            na
2013-11-19,Tu,       5549.62,       5549.62,       5176.00,       5188.28,-6554,            na
2013-11-18,Mo,       5590.14,       5640.79,       5532.11,       5552.17,-362,            na
2013-11-15,Fr,       5469.31,       5579.43,       5469.31,       5572.33,1915,            na
2013-11-14,Th,       5256.83,       5492.16,       5252.38,       5467.65,4263,            na
2013-11-13,We,       5279.24,       5296.27,       5217.46,       5244.11,-533,            na
2013-11-12,Tu,       5401.45,       5425.03,       5260.67,       5272.22,-2393,            na
2013-11-11,Mo,       5301.59,       5407.83,       5301.59,       5401.45,2026,            na
2013-11-08,Fr,       5338.73,       5338.73,       5254.08,       5294.18,-187,            na
2013-11-07,Th,       5504.14,       5518.48,       5290.35,       5304.12,-3657,            na
2013-11-06,We,            na,            na,            na,            na,            na,            na
2013-11-05,Tu,       5233.59,       5505.47,       5230.50,       5505.47,5400,            na
2013-11-04,Mo,       5094.67,       5223.54,       5094.67,       5223.41,2527,            na
2013-11-01,Fr,       5163.32,       5190.27,       5087.98,       5094.67,-1363,            na
