"Fecha","Indice"
"1/3/2005","1,370"
"1/4/2005","1,337.46"
"1/5/2005","1,305.56"
"1/6/2005","1,316.63"
"1/7/2005","1,309.45"
"1/10/2005","1,334.58"
"1/11/2005","1,350.92"
"1/12/2005","1,344.11"
"1/13/2005","1,347.29"
"1/14/2005","1,344.70"
"1/17/2005","1,348.69"
"1/18/2005","1,345.47"
"1/19/2005","1,336.96"
"1/20/2005","1,319.19"
"1/21/2005","1,325.74"
"1/24/2005","1,311.92"
"1/25/2005","1,309.67"
"1/26/2005","1,355.32"
"1/27/2005","1,378.43"
"1/28/2005","1,381.92"
"1/31/2005","1,373.79"
"2/1/2005","1,373.41"
"2/2/2005","1,371.02"
"2/3/2005","1,399.23"
"2/4/2005","1,428.54"
"2/7/2005","1,434.03"
"2/8/2005","1,480.11"
"2/9/2005","1,484.60"
"2/10/2005","1,487.39"
"2/11/2005","1,496.91"
"2/14/2005","1,517.93"
"2/15/2005","1,493.96"
"2/16/2005","1,508.84"
"2/17/2005","1,531.86"
"2/18/2005","1,557.77"
"2/21/2005","1,534.01"
"2/22/2005","1,556.03"
"2/23/2005","1,520.90"
"2/24/2005","1,529.64"
"2/25/2005","1,600.32"
"2/28/2005","1,558.62"
"3/1/2005","1,598.38"
"3/2/2005","1,582.39"
"3/3/2005","1,577.13"
"3/4/2005","1,581.36"
"3/7/2005","1,590.74"
"3/8/2005","1,596.81"
"3/9/2005","1,530.02"
"3/10/2005","1,471.89"
"3/11/2005","1,435.95"
"3/14/2005","1,374.88"
"3/15/2005","1,386.08"
"3/16/2005","1,388.09"
"3/17/2005","1,452.94"
"3/18/2005","1,458.19"
"3/21/2005","1,414.40"
"3/22/2005","1,393.57"
"3/23/2005","1,364.28"
"3/28/2005","1,347.99"
"3/29/2005","1,347.77"
"3/30/2005","1,401.12"
"3/31/2005","1,400.42"
"4/1/2005","1,424.31"
"4/4/2005","1,392.51"
"4/5/2005","1,411.28"
"4/6/2005","1,423.30"
"4/7/2005","1,423.47"
"4/8/2005","1,415.33"
"4/11/2005","1,408.42"
"4/12/2005","1,372.59"
"4/13/2005","1,344.56"
"4/14/2005","1,325.84"
"4/15/2005","1,276.48"
"4/18/2005","1,307.90"
"4/19/2005","1,344.61"
"4/20/2005","1,309.48"
"4/21/2005","1,354.73"
"4/22/2005","1,354.68"
"4/25/2005","1,368.82"
"4/26/2005","1,352.68"
"4/27/2005","1,356.30"
"4/28/2005","1,324.75"
"4/29/2005","1,348.35"
"5/2/2005","1,378.76"
"5/3/2005","1,404.39"
"5/4/2005","1,442.13"
"5/5/2005","1,438.09"
"5/6/2005","1,429.37"
"5/9/2005","1,406.85"
"5/10/2005","1,381.34"
"5/11/2005","1,400.46"
"5/12/2005","1,389.80"
"5/13/2005","1,439.61"
"5/16/2005","1,458.18"
"5/17/2005","1,444.73"
"5/18/2005","1,459.33"
"5/19/2005","1,457.24"
"5/20/2005","1,435.08"
"5/23/2005","1,449.63"
"5/24/2005","1,458.17"
"5/26/2005","1,447.06"
"5/27/2005","1,460.72"
"5/30/2005","1,497.84"
"5/31/2005","1,485.55"
"6/1/2005","1,516.17"
"6/2/2005","1,531.17"
"6/3/2005","1,506.12"
"6/6/2005","1,486.07"
"6/7/2005","1,490.30"
"6/8/2005","1,489.29"
"6/9/2005","1,450.96"
"6/10/2005","1,435.30"
"6/13/2005","1,421.25"
"6/14/2005","1,435.28"
"6/15/2005","1,453.66"
"6/16/2005","1,458.70"
"6/17/2005","1,443.99"
"6/21/2005","1,462.09"
"6/22/2005","1,464.80"
"6/23/2005","1,439.43"
"6/24/2005","1,444.61"
"6/27/2005","1,421.25"
"6/28/2005","1,419.64"
"6/29/2005","1,374.55"
"6/30/2005","1,367.41"
"7/1/2005","1,361.32"
"7/4/2005","1,366.92"
"7/5/2005","1,382.08"
"7/6/2005","1,356.22"
"7/7/2005","1,391.10"
"7/8/2005","1,386.77"
"7/11/2005","1,410.36"
"7/12/2005","1,422.31"
"7/13/2005","1,423.36"
"7/14/2005","1,466.57"
"7/15/2005","1,462.94"
"7/18/2005","1,473.03"
"7/19/2005","1,492.18"
"7/20/2005","1,487.81"
"7/21/2005","1,478.99"
"7/22/2005","1,481.79"
"7/25/2005","1,453.93"
"7/26/2005","1,479.65"
"7/27/2005","1,502.93"
"7/28/2005","1,511.16"
"7/29/2005","1,507.59"
"8/1/2005","1,522.71"
"8/2/2005","1,535.51"
"8/3/2005","1,508.23"
"8/4/2005","1,526.85"
"8/5/2005","1,517.90"
"8/8/2005","1,494.00"
"8/9/2005","1,504.04"
"8/10/2005","1,509.23"
"8/11/2005","1,496.59"
"8/12/2005","1,479.33"
"8/16/2005","1,470.98"
